date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:25	78794/78794	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:19%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/tables/datatables.net.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/tables/datatables.net.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:26	33958/33958	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:20%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/maps/google.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/maps/google.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:28	30677/30677	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:21%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/maps/fullscreen.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/maps/fullscreen.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:28	32798/32798	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:23%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/maps/vector.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/maps/vector.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:30	61228/61228	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:23%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/widgets.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/widgets.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:32	37795/37795	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:25%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/charts.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/charts.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:33	32817/32817	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:27%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/calendar.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/calendar.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:36	3310/3310	---M--	200	added ('OK%20')	image/png	date:Thu,%2009%20Nov%202017%2018:34:32%20GMT	http://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/US.png	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/US.png	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:37	140194/140194	---M--	200	added ('OK')	image/jpeg	etag:%2219bf7b84f395560981564cc7e60e0699%22	http://s3.amazonaws.com/creativetim_bucket/products/51/opt_mdp_thumbnail.jpg	C:/Users/VENDAS-02/Desktop/creative%20tim/s3.amazonaws.com/creativetim_bucket/products/51/opt_mdp_thumbnail.jpg	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:37	85214/85214	---M--	200	added ('OK%20')	image/jpeg	date:Thu,%2009%20Nov%202017%2018:34:32%20GMT	http://demos.creative-tim.com/material-dashboard-pro/assets/img/faces/avatar.jpg	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/assets/img/faces/avatar.jpg	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
